"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2013","DE","Germany",0.019929380,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2013","DK","Denmark",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2013","EE","Estonia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2013","EL","Greece",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2013","ES","Spain",-,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2013","EU27_21","EU (without UK)",0.012766000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2013","EU27_UK_21","EU (with UK until 2019)",0.017128000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2013","EUEEA30_21","EU/EEA (without UK)",0.012766000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2013","EUEEAUK_21","EU/EEA (with UK until 2019)",0.017128000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2013","FI","Finland",0.021796670,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2013","FR","France",0.019211510,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2013","HR","Croatia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2013","HU","Hungary",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2013","IE","Ireland",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2013","IT","Italy",0.005378490,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2013","LT","Lithuania",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2013","LU","Luxembourg",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2013","LV","Latvia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2013","MT","Malta",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2013","PL","Poland",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2013","RO","Romania",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2013","SE","Sweden",0.056963710,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2013","SI","Slovenia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2013","SK","Slovakia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2013","UK","United Kingdom",0.041680970,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2014","BE","Belgium",0.685863130,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2014","CZ","Czechia",0.029138150,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2014","DE","Germany",0.202176860,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2014","DK","Denmark",0.050441510,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2014","EE","Estonia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2014","EL","Greece",0.009530890,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2014","ES","Spain",0.567303660,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2014","EU27_21","EU (without UK)",0.235698000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2014","EU27_UK_21","EU (with UK until 2019)",0.268627000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2014","EUEEA30_21","EU/EEA (without UK)",0.235698000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2014","EUEEAUK_21","EU/EEA (with UK until 2019)",0.268627000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2014","FI","Finland",0.082035580,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2014","FR","France",0.549820750,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2014","HR","Croatia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2014","HU","Hungary",0.020414940,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2014","IE","Ireland",0.020755340,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2014","IT","Italy",0.061272750,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2014","LT","Lithuania",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2014","LU","Luxembourg",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2014","LV","Latvia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2014","MT","Malta",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2014","NL","Netherlands",-,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2014","PL","Poland",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2014","RO","Romania",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2014","SE","Sweden",0.211207410,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2014","SI","Slovenia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2014","SK","Slovakia",0.000000000,""
