"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Malaria","All cases","Reported cases","N","2010","ES","Spain",351.000000000,""
"Malaria","All cases","Reported cases","N","2010","EU27_21","EU (without UK)",4852.000000000,""
"Malaria","All cases","Reported cases","N","2010","EU27_UK_21","EU (with UK until 2019)",6613.000000000,""
"Malaria","All cases","Reported cases","N","2010","EUEEA30_21","EU/EEA (without UK)",4889.000000000,""
"Malaria","All cases","Reported cases","N","2010","EUEEAUK_21","EU/EEA (with UK until 2019)",6650.000000000,""
"Malaria","All cases","Reported cases","N","2010","FI","Finland",33.000000000,""
"Malaria","All cases","Reported cases","N","2010","FR","France",2439.000000000,""
"Malaria","All cases","Reported cases","N","2010","HU","Hungary",5.000000000,""
"Malaria","All cases","Reported cases","N","2010","IE","Ireland",82.000000000,""
"Malaria","All cases","Reported cases","N","2010","IT","Italy",698.000000000,""
"Malaria","All cases","Reported cases","N","2010","LT","Lithuania",3.000000000,""
"Malaria","All cases","Reported cases","N","2010","LU","Luxembourg",12.000000000,""
"Malaria","All cases","Reported cases","N","2010","LV","Latvia",5.000000000,""
"Malaria","All cases","Reported cases","N","2010","MT","Malta",0.000000000,""
"Malaria","All cases","Reported cases","N","2010","NL","Netherlands",247.000000000,""
"Malaria","All cases","Reported cases","N","2010","NO","Norway",37.000000000,""
"Malaria","All cases","Reported cases","N","2010","PL","Poland",35.000000000,""
"Malaria","All cases","Reported cases","N","2010","PT","Portugal",50.000000000,""
"Malaria","All cases","Reported cases","N","2010","RO","Romania",19.000000000,""
"Malaria","All cases","Reported cases","N","2010","SE","Sweden",118.000000000,""
"Malaria","All cases","Reported cases","N","2010","SI","Slovenia",9.000000000,""
"Malaria","All cases","Reported cases","N","2010","SK","Slovakia",2.000000000,""
"Malaria","All cases","Reported cases","N","2010","UK","United Kingdom",1761.000000000,""
"Malaria","All cases","Reported cases","N","2011","AT","Austria",44.000000000,""
"Malaria","All cases","Reported cases","N","2011","BE","Belgium",184.000000000,""
"Malaria","All cases","Reported cases","N","2011","BG","Bulgaria",8.000000000,""
"Malaria","All cases","Reported cases","N","2011","CY","Cyprus",6.000000000,""
"Malaria","All cases","Reported cases","N","2011","CZ","Czechia",28.000000000,""
"Malaria","All cases","Reported cases","N","2011","DE","Germany",563.000000000,""
"Malaria","All cases","Reported cases","N","2011","DK","Denmark",74.000000000,""
"Malaria","All cases","Reported cases","N","2011","EE","Estonia",1.000000000,""
"Malaria","All cases","Reported cases","N","2011","EL","Greece",92.000000000,""
"Malaria","All cases","Reported cases","N","2011","ES","Spain",405.000000000,""
"Malaria","All cases","Reported cases","N","2011","EU27_21","EU (without UK)",4589.000000000,""
"Malaria","All cases","Reported cases","N","2011","EU27_UK_21","EU (with UK until 2019)",6266.000000000,""
"Malaria","All cases","Reported cases","N","2011","EUEEA30_21","EU/EEA (without UK)",4619.000000000,""
"Malaria","All cases","Reported cases","N","2011","EUEEAUK_21","EU/EEA (with UK until 2019)",6296.000000000,""
"Malaria","All cases","Reported cases","N","2011","FI","Finland",33.000000000,""
"Malaria","All cases","Reported cases","N","2011","FR","France",1891.000000000,""
"Malaria","All cases","Reported cases","N","2011","HU","Hungary",10.000000000,""
"Malaria","All cases","Reported cases","N","2011","IE","Ireland",61.000000000,""
"Malaria","All cases","Reported cases","N","2011","IT","Italy",701.000000000,""
"Malaria","All cases","Reported cases","N","2011","LT","Lithuania",3.000000000,""
"Malaria","All cases","Reported cases","N","2011","LU","Luxembourg",3.000000000,""
"Malaria","All cases","Reported cases","N","2011","LV","Latvia",4.000000000,""
"Malaria","All cases","Reported cases","N","2011","MT","Malta",1.000000000,""
"Malaria","All cases","Reported cases","N","2011","NL","Netherlands",253.000000000,""
"Malaria","All cases","Reported cases","N","2011","NO","Norway",30.000000000,""
"Malaria","All cases","Reported cases","N","2011","PL","Poland",14.000000000,""
"Malaria","All cases","Reported cases","N","2011","PT","Portugal",67.000000000,""
"Malaria","All cases","Reported cases","N","2011","RO","Romania",40.000000000,""
"Malaria","All cases","Reported cases","N","2011","SE","Sweden",95.000000000,""
"Malaria","All cases","Reported cases","N","2011","SI","Slovenia",7.000000000,""
"Malaria","All cases","Reported cases","N","2011","SK","Slovakia",1.000000000,""
"Malaria","All cases","Reported cases","N","2011","UK","United Kingdom",1677.000000000,""
"Malaria","All cases","Reported cases","N","2012","AT","Austria",28.000000000,""
"Malaria","All cases","Reported cases","N","2012","BE","Belgium",206.000000000,""
"Malaria","All cases","Reported cases","N","2012","BG","Bulgaria",16.000000000,""
"Malaria","All cases","Reported cases","N","2012","CY","Cyprus",1.000000000,""
"Malaria","All cases","Reported cases","N","2012","CZ","Czechia",25.000000000,""
"Malaria","All cases","Reported cases","N","2012","DE","Germany",551.000000000,""
"Malaria","All cases","Reported cases","N","2012","DK","Denmark",67.000000000,""
