nuts3_id,water_area_km2,water_bodies_count,water_pct
FRK25,2.76,4,0.06
FRK26,5.18,3,0.16
FRK27,49.72,5,0.79
FRK28,170.19,2,3.57
FRL01,32.7,11,0.46
FRL02,43.48,5,0.76
FRL04,360.42,27,6.82
FRL05,4.3,2,0.07
FRL06,26.36,3,0.74
FRM02,10.24,3,0.21
HR021,6.21,3,0.23
HR022,11.28,2,0.57
HR024,10.99,4,0.54
HR025,67.1,29,1.6
HR026,40.36,7,1.6
HR027,1.35,1,0.04
HR028,1.42,1,0.03
HR031,5.64,2,0.15
HR032,16.42,3,0.31
HR033,57.54,3,1.65
HR034,33.79,4,1.11
HR035,23.45,2,0.53
HR037,2.83,4,0.2
HR050,3.82,4,0.66
HR063,5.51,2,0.3
HR065,15.75,3,0.49
HU110,15.24,1,2.91
HU120,83.5,11,1.31
HU211,41.01,5,0.93
HU212,55.79,5,2.31
HU213,302.23,1,6.61
HU221,57.19,5,1.38
HU223,47.46,2,1.28
HU231,36.76,11,0.83
HU232,245.71,9,4.07
HU233,33.38,9,0.93
HU311,30.96,4,0.44
HU312,49.57,1,1.34
HU321,24.95,11,0.39
HU322,66.23,4,1.21
HU323,1.38,2,0.02
HU331,101.28,18,1.19
HU332,1.45,1,0.03
HU333,21.47,8,0.49
IE041,238.9,119,2.1
IE042,566.59,114,3.99
IE051,121.71,30,1.18
IE052,28.76,10,0.4
IE053,71.08,26,0.59
IE061,0.49,1,0.06
IE062,42.6,11,0.6
IE063,137.17,25,2.08
IS001,6.14,5,0.61
IS002,1441.83,487,1.41
ITC11,15.62,7,0.22
ITC12,6.69,1,0.32
ITC13,5.16,1,0.63
ITC14,94.9,3,4.12
ITC15,39.13,3,2.87
ITC17,4.19,1,0.28
ITC18,38.77,4,1.12
ITC20,0.19,1,0.01
ITC33,7.15,5,0.37
ITC41,79.6,6,6.74
ITC42,138.88,4,10.66
ITC43,31.3,5,4.01
ITC44,14.97,8,0.45
ITC46,24.09,3,0.89
ITC47,263.09,4,5.59
ITC48,95.01,1,3.31
ITC49,26.36,4,3.76
ITC4A,61.49,4,3.28
ITC4B,60.4,2,2.53
