disease,country_code,year,rate_per_100k
dengue,AT,2008,0.0
dengue,AT,2009,0.0
dengue,AT,2010,0.0
dengue,AT,2011,0.0
dengue,AT,2012,0.0
dengue,AT,2013,0.0
dengue,AT,2014,0.0
dengue,AT,2015,0.0
dengue,AT,2016,0.0
dengue,AT,2017,0.0
dengue,AT,2018,0.0
dengue,AT,2019,0.0
dengue,AT,2020,0.0
dengue,AT,2021,0.0
dengue,AT,2022,0.0
dengue,AT,2023,0.0
dengue,AT,2024,0.0
dengue,BE,2008,0.0
dengue,BE,2009,0.0
dengue,BE,2010,0.0
dengue,BE,2011,0.0
dengue,BE,2012,0.0
dengue,BE,2013,0.0
dengue,BE,2014,0.0
dengue,BE,2015,0.0
dengue,BE,2016,0.0
dengue,BE,2017,0.0
dengue,BE,2018,0.0
dengue,BE,2019,0.0
dengue,BE,2020,0.0
dengue,BE,2021,0.0
dengue,BE,2022,0.0
dengue,BE,2023,0.0
dengue,BE,2024,0.0
dengue,CZ,2008,0.0
dengue,CZ,2009,0.0
dengue,CZ,2010,0.0
dengue,CZ,2011,0.0
dengue,CZ,2012,0.0
dengue,CZ,2013,0.0
dengue,CZ,2014,0.0
dengue,CZ,2015,0.0
dengue,CZ,2016,0.0
dengue,CZ,2017,0.0
dengue,CZ,2018,0.0
dengue,CZ,2019,0.0
dengue,CZ,2020,0.0
dengue,CZ,2021,0.0
dengue,CZ,2022,0.0
dengue,CZ,2023,0.0
dengue,CZ,2024,0.0
dengue,DE,2008,0.0
dengue,DE,2009,0.0
dengue,DE,2010,0.0
dengue,DE,2011,0.0
dengue,DE,2012,0.0
dengue,DE,2013,0.0
dengue,DE,2014,0.0
dengue,DE,2015,0.0
dengue,DE,2016,0.0
dengue,DE,2017,0.0012
dengue,DE,2018,0.0
dengue,DE,2019,0.0012
dengue,DE,2020,0.0
dengue,DE,2021,0.0
dengue,DE,2022,0.0
dengue,DE,2023,0.0
dengue,DE,2024,0.0012
dengue,EE,2008,0.0
dengue,EE,2009,0.0
dengue,EE,2010,0.0
dengue,EE,2011,0.0
dengue,EE,2012,0.0
dengue,EE,2013,0.0
dengue,EE,2014,0.0
dengue,EE,2015,0.0
dengue,EE,2016,0.0
dengue,EE,2017,0.0
dengue,EE,2018,0.0
dengue,EE,2019,0.0
dengue,EE,2020,0.0
dengue,EE,2021,0.0
dengue,EE,2022,0.0
dengue,EE,2023,0.0
dengue,EE,2024,0.0
dengue,EL,2008,0.0
dengue,EL,2009,0.0
dengue,EL,2010,0.0
dengue,EL,2011,0.0
dengue,EL,2012,0.0
dengue,EL,2013,0.0
dengue,EL,2014,0.0
dengue,EL,2015,0.0
dengue,EL,2016,0.0
dengue,EL,2017,0.0
dengue,EL,2018,0.0
dengue,EL,2019,0.0
dengue,EL,2020,0.0
dengue,EL,2021,0.0
dengue,EL,2022,0.0
dengue,EL,2023,0.0
dengue,EL,2024,0.0
dengue,ES,2008,0.0
dengue,ES,2009,0.0
dengue,ES,2010,0.0
dengue,ES,2011,0.0
dengue,ES,2012,0.0
dengue,ES,2013,0.0
dengue,ES,2014,0.0
dengue,ES,2015,0.0
dengue,ES,2016,0.0
dengue,ES,2017,0.0
dengue,ES,2018,0.0129
dengue,ES,2019,0.0043
dengue,ES,2020,0.0
dengue,ES,2021,0.0
dengue,ES,2022,0.0
dengue,ES,2023,0.0062
dengue,ES,2024,0.0123
dengue,FI,2008,0.0
dengue,FI,2009,0.0
dengue,FI,2010,0.0
dengue,FI,2011,0.0
dengue,FI,2012,0.0
dengue,FI,2013,0.0
dengue,FI,2014,0.0
dengue,FI,2015,0.0
dengue,FI,2016,0.0
dengue,FI,2017,0.0
dengue,FI,2018,0.0
dengue,FI,2019,0.0
dengue,FI,2020,0.0
dengue,FI,2021,0.0
dengue,FI,2022,0.0
dengue,FI,2023,0.0
dengue,FI,2024,0.0
dengue,FR,2008,0.0
dengue,FR,2009,0.0
dengue,FR,2010,0.0031
dengue,FR,2011,0.0
dengue,FR,2012,0.0
dengue,FR,2013,0.0015
dengue,FR,2014,0.006
dengue,FR,2015,0.012
dengue,FR,2016,0.0
dengue,FR,2017,0.0
dengue,FR,2018,0.0119
dengue,FR,2019,0.0134
dengue,FR,2020,0.0193
dengue,FR,2021,0.0044
dengue,FR,2022,0.0881
dengue,FR,2023,0.0644
dengue,FR,2024,0.1212
dengue,HU,2008,0.0
dengue,HU,2009,0.0
dengue,HU,2010,0.0
dengue,HU,2011,0.0
dengue,HU,2012,0.0
dengue,HU,2013,0.0
dengue,HU,2014,0.0
dengue,HU,2015,0.0
dengue,HU,2016,0.0
dengue,HU,2017,0.0
dengue,HU,2018,0.0
dengue,HU,2019,0.0
dengue,HU,2020,0.0
dengue,HU,2021,0.0
dengue,HU,2022,0.0
dengue,HU,2023,0.0
dengue,HU,2024,0.0
dengue,IE,2008,0.0
dengue,IE,2009,0.0
dengue,IE,2010,0.0
dengue,IE,2011,0.0
dengue,IE,2012,0.0
dengue,IE,2013,0.0
dengue,IE,2014,0.0
dengue,IE,2015,0.0
dengue,IE,2016,0.0
dengue,IE,2017,0.0
dengue,IE,2018,0.0
dengue,IE,2019,0.0
dengue,IE,2020,0.0
dengue,IE,2021,0.0
dengue,IE,2022,0.0
dengue,IE,2023,0.0
dengue,IE,2024,0.0
dengue,IT,2008,0.0
dengue,IT,2009,0.0
dengue,IT,2010,0.0
dengue,IT,2011,0.0
dengue,IT,2012,0.0
dengue,IT,2013,0.0
dengue,IT,2014,0.0
dengue,IT,2015,0.0
dengue,IT,2016,0.0
dengue,IT,2017,0.0
dengue,IT,2018,0.0
dengue,IT,2019,0.0
dengue,IT,2020,0.0184
dengue,IT,2021,0.0
dengue,IT,2022,0.0
dengue,IT,2023,0.139
dengue,IT,2024,0.4036
dengue,LT,2008,0.0
dengue,LT,2009,0.0
dengue,LT,2010,0.0
dengue,LT,2011,0.0
dengue,LT,2012,0.0
dengue,LT,2013,0.0
dengue,LT,2014,0.0
dengue,LT,2015,0.0
dengue,LT,2016,0.0
dengue,LT,2017,0.0
dengue,LT,2018,0.0
dengue,LT,2019,0.0
dengue,LT,2020,0.0
dengue,LT,2021,0.0
dengue,LT,2022,0.0
dengue,LT,2023,0.0
dengue,LT,2024,0.0
dengue,LU,2008,0.0
dengue,LU,2009,0.0
dengue,LU,2010,0.0
dengue,LU,2011,0.0
dengue,LU,2012,0.0
dengue,LU,2013,0.0
dengue,LU,2014,0.0
dengue,LU,2015,0.0
dengue,LU,2016,0.0
dengue,LU,2017,0.0
dengue,LU,2018,0.0
dengue,LU,2019,0.0
dengue,LU,2020,0.0
dengue,LU,2021,0.0
dengue,LU,2022,0.0
dengue,LU,2023,0.0
dengue,LU,2024,0.0
dengue,LV,2008,0.0
dengue,LV,2009,0.0
dengue,LV,2010,0.0
dengue,LV,2011,0.0
dengue,LV,2012,0.0
dengue,LV,2013,0.0
dengue,LV,2014,0.0
dengue,LV,2015,0.0
dengue,LV,2016,0.0
dengue,LV,2017,0.0
dengue,LV,2018,0.0
dengue,LV,2019,0.0
dengue,LV,2020,0.0
dengue,LV,2021,0.0
dengue,LV,2022,0.0
dengue,LV,2023,0.0
dengue,MT,2008,0.0
dengue,MT,2009,0.0
dengue,MT,2010,0.0
dengue,MT,2011,0.0
dengue,MT,2012,0.0
dengue,MT,2013,0.0
dengue,MT,2014,0.0
dengue,MT,2015,0.0
dengue,MT,2016,0.0
dengue,MT,2017,0.0
dengue,MT,2018,0.0
dengue,MT,2019,0.0
dengue,MT,2020,0.0
dengue,MT,2021,0.0
dengue,MT,2022,0.0
dengue,MT,2023,0.0
dengue,MT,2024,0.0
dengue,PL,2008,0.0
dengue,PL,2009,0.0
dengue,PL,2010,0.0
dengue,PL,2011,0.0
dengue,PL,2012,0.0
dengue,PL,2013,0.0
dengue,PL,2014,0.0
dengue,PL,2015,0.0
dengue,PL,2016,0.0
dengue,PL,2017,0.0
dengue,PL,2018,0.0
dengue,PL,2019,0.0
dengue,PL,2020,0.0
dengue,PL,2021,0.0
dengue,PL,2022,0.0
dengue,PL,2023,0.0
dengue,PL,2024,0.0
dengue,RO,2008,0.0
dengue,RO,2009,0.0
dengue,RO,2010,0.0
dengue,RO,2011,0.0
dengue,RO,2012,0.0
dengue,RO,2013,0.0
dengue,RO,2014,0.0
dengue,RO,2015,0.0
dengue,RO,2016,0.0
dengue,RO,2017,0.0
dengue,RO,2018,0.0
dengue,RO,2019,0.0
dengue,RO,2020,0.0
dengue,RO,2021,0.0
dengue,RO,2022,0.0
dengue,RO,2023,0.0
dengue,RO,2024,0.0
dengue,SE,2008,0.0
dengue,SE,2009,0.0
dengue,SE,2010,0.0
dengue,SE,2011,0.0
dengue,SE,2012,0.0
dengue,SE,2013,0.0
dengue,SE,2014,0.0
dengue,SE,2015,0.0
dengue,SE,2016,0.0
dengue,SE,2017,0.0
dengue,SE,2018,0.0
dengue,SE,2019,0.0
dengue,SE,2020,0.0
dengue,SE,2021,0.0
dengue,SE,2022,0.0
dengue,SE,2023,0.0
dengue,SE,2024,0.0
dengue,SI,2008,0.0
dengue,SI,2009,0.0
dengue,SI,2010,0.0
dengue,SI,2011,0.0
dengue,SI,2012,0.0
dengue,SI,2013,0.0
dengue,SI,2014,0.0
dengue,SI,2015,0.0
dengue,SI,2016,0.0
dengue,SI,2017,0.0
dengue,SI,2018,0.0
dengue,SI,2019,0.0
dengue,SI,2020,0.0
dengue,SI,2021,0.0
dengue,SI,2022,0.0
dengue,SI,2023,0.0
dengue,SI,2024,0.0
dengue,SK,2008,0.0
dengue,SK,2009,0.0
dengue,SK,2010,0.0
dengue,SK,2011,0.0
dengue,SK,2012,0.0
dengue,SK,2013,0.0
dengue,SK,2014,0.0
dengue,SK,2015,0.0
dengue,SK,2016,0.0
dengue,SK,2017,0.0
dengue,SK,2018,0.0
dengue,SK,2019,0.0
dengue,SK,2020,0.0
dengue,SK,2021,0.0
dengue,SK,2022,0.0
dengue,SK,2023,0.0
dengue,SK,2024,0.0
dengue,UK,2008,0.0065
dengue,UK,2009,0.0
dengue,UK,2010,0.0
dengue,UK,2011,0.0
dengue,UK,2012,0.0
dengue,UK,2013,0.0
dengue,UK,2014,0.0
dengue,UK,2015,0.0
dengue,UK,2016,0.0
dengue,UK,2017,0.0
dengue,UK,2018,0.0
dengue,UK,2019,0.0
dengue,IS,2009,0.0
dengue,IS,2010,0.0
dengue,IS,2011,0.0
dengue,IS,2012,0.0
dengue,IS,2013,0.0
dengue,IS,2014,0.0
dengue,IS,2015,0.0
dengue,IS,2016,0.0
dengue,IS,2017,0.0
dengue,IS,2018,0.0
dengue,IS,2019,0.0
dengue,IS,2020,0.0
dengue,IS,2021,0.0
dengue,IS,2022,0.0
dengue,IS,2023,0.0
dengue,IS,2024,0.0
dengue,DK,2010,0.0
dengue,DK,2011,0.0
dengue,DK,2012,0.0
dengue,DK,2013,0.0
dengue,DK,2014,0.0
dengue,DK,2015,0.0
dengue,DK,2016,0.0
dengue,DK,2017,0.0
dengue,DK,2018,0.0
dengue,DK,2019,0.0
dengue,DK,2020,0.0
